# === Training Log ===

## METADATA (JSON)
{
  "model_class": "Model",
  "model_module": "__main__",
  "model_str": "Model(\n  (net): Sequential(\n    (0): Linear(in_features=2, out_features=5, bias=True)\n    (1): Tanh()\n    (2): Linear(in_features=5, out_features=5, bias=True)\n    (3): Tanh()\n    (4): Linear(in_features=5, out_features=1, bias=True)\n  )\n)",
  "num_parameters": 51,
  "num_trainable_parameters": 51,
  "optimizer_class": "Adam",
  "optimizer_module": "torch.optim.adam",
  "optimizer_params": {
    "amsgrad": false,
    "betas": [
      0.9,
      0.999
    ],
    "capturable": false,
    "decoupled_weight_decay": false,
    "differentiable": false,
    "eps": 1e-08,
    "foreach": null,
    "fused": null,
    "lr": 0.001,
    "maximize": false,
    "weight_decay": 1e-06
  },
  "stopped": false
}

## BEGIN TRAIN DATA
       iteration            loss        residual        boundary         initial   observational             mse             mae
    7.500000e+01    3.766215e-02    2.196446e-02    1.205623e-02    0.000000e+00    3.641463e-03    3.037013e-03    4.333283e-02
    7.600000e+01    3.919218e-02    2.328980e-02    1.226776e-02    0.000000e+00    3.634618e-03    3.462809e-03    4.564364e-02
    7.700000e+01    3.613858e-02    2.162156e-02    1.127189e-02    0.000000e+00    3.245135e-03    3.366854e-03    4.476643e-02
    7.800000e+01    3.658090e-02    2.201129e-02    1.101706e-02    0.000000e+00    3.552555e-03    3.322822e-03    4.388404e-02
    7.900000e+01    3.527663e-02    2.156306e-02    1.064656e-02    0.000000e+00    3.067005e-03    2.268763e-03    3.686274e-02
    8.000000e+01    3.425306e-02    2.106878e-02    1.014400e-02    0.000000e+00    3.040289e-03    3.167527e-03    4.393694e-02
    8.100000e+01    3.208936e-02    1.971287e-02    9.577434e-03    0.000000e+00    2.799050e-03    2.514506e-03    4.041717e-02
    8.200000e+01    3.146303e-02    1.987237e-02    8.769046e-03    0.000000e+00    2.821613e-03    3.028077e-03    4.314350e-02
    8.300000e+01    2.917268e-02    1.770750e-02    8.834215e-03    0.000000e+00    2.630962e-03    2.297815e-03    3.679159e-02
    8.400000e+01    2.749138e-02    1.719410e-02    7.953863e-03    0.000000e+00    2.343423e-03    2.483032e-03    3.716875e-02
    8.500000e+01    2.608911e-02    1.635063e-02    7.527060e-03    0.000000e+00    2.211422e-03    2.277066e-03    3.740329e-02
    8.600000e+01    2.382755e-02    1.443647e-02    7.315465e-03    0.000000e+00    2.075611e-03    1.497632e-03    2.821074e-02
    8.700000e+01    2.213311e-02    1.422340e-02    6.185649e-03    0.000000e+00    1.724062e-03    2.294247e-03    3.701851e-02
